Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   ND16   ND17   ND18   ND19   ND20   Egz    
Rimtas              Vasiliauskas        9      8      7      3      10     1      3      3      7      3      7      1      7      1      1      7      10     3      4      8      10     
Kestutis            Vasiliauskas        2      5      4      2      9      8      7      6      8      3      1      7      2      10     7      2      4      10     4      4      2      
Jakovas             Kateiva             7      4      5      6      6      9      1      3      3      6      1      10     7      4      6      10     5      9      1      7      2      
Rimtis              Sakalauskas         5      7      9      3      3      10     7      3      10     2      5      5      8      2      2      8      10     9      1      8      5      
Alfonsas            Vasiliauskas        8      2      1      7      8      9      7      2      1      7      8      6      1      9      3      10     10     6      7      5      3      
Antanas             Kavaliauskas        2      8      9      3      2      2      4      3      5      10     7      10     5      9      9      7      6      7      1      10     5      
Nerius              Sakalauskas         3      3      7      5      6      3      1      10     2      1      3      1      7      5      3      1      1      1      5      10     1      
Vytenis             Butkus              8      8      9      2      4      6      5      8      3      2      3      1      1      8      8      7      9      6      1      8      3      
Medardas            Paulauskas          10     3      3      8      2      9      6      9      1      5      3      3      5      10     3      10     9      8      9      9      2      
Simonas             Kavaliauskas        2      4      1      10     1      3      6      2      8      10     3      6      2      2      1      3      4      10     10     4      6      
Apolonijus          Urbonas             10     2      3      8      10     7      6      7      2      1      3      4      8      8      8      1      5      4      3      9      10     
Martynas            Butkus              8      5      3      6      5      8      9      2      4      7      9      5      5      10     4      10     5      8      7      10     1      
Grazvydas           Butkus              9      9      2      2      10     10     9      2      8      9      5      4      10     9      8      7      5      6      9      6      5      
Dovilis             Baranauskas         1      6      8      10     7      1      4      10     5      6      2      2      6      9      3      2      7      4      2      8      6      
Uosis               Kavaliauskas        7      5      6      7      9      9      1      2      1      3      7      7      6      2      10     1      5      4      3      8      7      
Jacekas             Vasiliauskas        7      10     4      4      8      3      8      5      7      1      4      4      2      6      1      1      1      9      3      3      6      
Timuras             Paulauskas          1      6      7      10     5      7      10     4      10     6      8      6      5      5      7      4      9      5      7      4      4      
Semionas            Kateiva             5      9      3      4      10     5      10     7      8      2      4      3      7      9      7      2      6      8      8      4      5      
Hubertas            Paulauskas          6      9      7      5      7      10     1      5      1      2      6      9      1      7      2      8      10     10     5      2      4      
Agatas              Kazlaukas           6      3      7      2      9      8      7      3      4      6      2      4      5      10     3      9      3      8      3      1      8      
Kastantas           Kavaliauskas        8      10     8      1      4      7      7      3      10     1      5      6      9      8      6      2      2      5      10     6      2      
Laisvis             Stankevicius        8      4      3      6      7      6      4      10     10     5      3      8      9      1      7      1      5      6      9      9      2      
Jovitas             Sakalauskas         5      10     5      1      10     5      1      5      4      7      4      1      8      10     3      3      7      4      7      1      4      
Kazys               Kazlaukas           5      7      3      8      5      2      4      6      9      9      4      3      9      2      2      8      4      6      5      5      9      
Antonijus           Kateiva             3      6      7      5      10     8      2      10     8      5      2      4      1      5      8      2      5      4      3      10     2      
Kristupas           Petrauskas          3      2      9      10     7      5      6      10     8      2      3      2      1      8      9      4      1      10     8      10     9      
Narimantas          Sakalauskas         4      8      10     1      10     3      7      10     10     8      7      8      6      9      4      5      8      1      10     1      4      
Kristupas           Sakalauskas         1      7      5      4      4      3      10     7      9      4      10     9      9      10     6      3      10     5      4      8      4      
Rufas               Petrauskas          5      5      2      4      7      1      4      6      10     8      2      10     9      2      10     2      3      1      2      1      5      
Sigitas             Pocius              6      2      8      9      9      4      2      5      10     6      4      5      2      4      4      1      5      10     1      4      8      
Gerdas              Urbonas             7      1      1      6      4      4      10     5      1      10     4      7      3      1      6      2      9      4      6      10     10     
Aurimas             Kavaliauskas        7      4      8      1      4      2      4      5      6      6      3      2      5      2      1      2      5      8      9      9      8      
Karlas              Vasiliauskas        7      9      7      10     7      1      5      4      2      3      7      4      3      7      2      9      9      7      6      3      9      
Dainius             Jankauskas          2      6      4      6      10     4      7      4      4      6      4      2      7      2      6      3      1      9      4      3      10     
Andrius             Pocius              9      1      4      9      2      4      7      4      6      7      8      6      10     1      10     6      6      8      6      10     6      
Norbertas           Paulauskas          8      9      6      5      7      7      3      7      2      3      6      2      5      2      5      4      10     5      8      2      3      
Denisas             Urbonas             10     8      2      10     7      2      2      4      6      3      1      9      5      2      7      4      8      6      8      4      6      
Naumas              Petrauskas          3      7      3      8      1      4      2      4      4      8      6      4      3      9      3      1      4      10     4      4      7      
Arnoldas            Paulauskas          6      3      5      5      8      4      5      3      5      5      10     6      2      10     3      5      2      6      6      10     1      
Dalius              Vasiliauskas        9      2      4      7      1      9      7      3      6      5      5      3      10     7      5      6      3      8      6      8      2      
Simonas             Butkus              2      3      6      8      7      1      6      9      8      6      9      5      4      9      7      1      8      7      2      2      3      
Eugeniusas          Kavaliauskas        2      5      10     4      3      6      2      7      1      1      2      2      10     2      6      4      2      10     8      3      1      
Zigmas              Butkus              4      10     3      8      10     8      6      1      7      4      5      3      6      2      4      6      2      8      8      4      5      
Vaidila             Jankauskas          3      5      4      3      3      6      7      7      6      1      6      5      6      3      8      8      5      3      2      9      8      
Eligijus            Paulauskas          7      7      9      5      5      6      2      6      10     6      3      10     2      2      3      3      3      6      4      4      3      
Ernestas            Kavaliauskas        4      5      9      10     9      8      4      8      8      6      4      1      1      2      2      6      6      10     3      1      9      
Vaigirdas           Stankevicius        6      7      6      8      7      4      10     9      2      4      7      7      5      5      9      8      6      9      10     9      5      
Aurimas             zukauskas           4      8      6      2      2      7      5      7      5      7      3      6      8      2      6      10     10     5      5      7      3      
Valerijus           Sakalauskas         6      10     2      5      10     4      7      8      5      6      2      6      10     9      2      10     2      7      4      6      8      
Celestinas          Kateiva             4      9      4      8      2      2      9      5      5      1      1      2      1      8      3      3      4      1      1      8      10     
Saulius             Kateiva             1      8      8      10     1      8      8      9      10     7      10     8      4      7      2      5      8      7      6      4      3      
Stepas              Stankevicius        1      2      8      6      9      10     5      1      2      1      5      6      10     7      5      9      10     7      9      8      3      
Karlas              Kavaliauskas        7      8      4      8      10     7      9      8      3      8      7      7      2      9      3      5      5      6      7      1      6      
Ramunas             zukauskas           7      6      4      2      4      3      8      7      8      10     9      10     9      8      2      2      10     8      5      10     9      
Ramonas             Stankevicius        4      2      5      8      8      5      3      6      9      7      10     3      10     10     9      3      10     7      1      6      6      
Teofilis            Kazlaukas           10     6      6      9      3      4      7      8      2      9      8      9      1      9      1      7      6      3      2      3      4      
Alenas              Pocius              4      1      8      4      3      3      8      6      9      8      6      2      8      7      9      10     7      6      5      2      9      
Marius              Butkus              7      6      3      5      9      7      2      5      8      7      9      4      3      2      9      6      1      4      10     9      9      
Norvilas            Jankauskas          8      1      7      3      10     2      2      1      9      1      10     6      2      8      6      9      4      9      2      9      2      
Vacius              Paulauskas          3      5      1      3      10     8      3      4      7      3      7      2      2      2      7      5      9      10     5      6      10     
Skalmantas          Petrauskas          10     4      9      8      2      6      4      7      2      8      9      5      9      5      9      1      5      2      8      1      4      
Bonifacas           Pocius              6      4      1      9      10     3      3      7      4      2      4      4      10     3      2      4      1      2      3      1      9      
Fedoras             Pocius              2      8      9      9      10     1      6      10     3      8      4      6      3      9      7      4      4      1      9      7      9      
Ignotas             Stankevicius        7      1      3      5      10     6      10     3      4      7      8      1      3      3      4      10     1      5      6      7      2      
Georgijus           Pocius              2      6      4      9      3      2      9      9      1      10     1      6      5      5      3      2      2      6      10     7      10     
Marijonas           Pocius              10     7      9      2      3      10     8      8      4      7      3      5      6      10     2      10     8      6      2      8      4      
Julius              Sakalauskas         2      2      3      1      6      10     2      9      6      1      1      5      2      6      4      2      1      9      6      10     8      
Gedas               zukauskas           4      9      7      10     4      6      7      6      9      10     5      3      8      10     1      6      2      4      2      6      6      
Juozas              Petrauskas          5      7      4      7      7      1      9      9      3      4      9      5      2      2      2      9      6      3      5      2      9      
Agnius              Stankevicius        7      7      10     1      7      2      5      3      1      8      3      4      10     3      6      7      3      7      2      8      3      
Augustinas          Sakalauskas         1      7      1      4      7      8      1      7      3      8      4      7      9      9      9      8      3      7      5      2      1      
Baltazaras          Butkus              4      10     7      1      7      5      4      9      2      8      4      2      1      10     9      5      5      8      3      8      2      
Gerimantas          Kavaliauskas        9      8      5      9      10     7      9      9      5      4      3      6      8      8      3      7      10     9      3      1      9      
Palemonas           Urbonas             1      10     2      8      10     1      10     5      10     1      9      1      5      7      8      8      4      4      10     5      2      
Dovis               Kateiva             5      4      9      3      8      1      7      3      1      8      3      10     3      5      10     4      1      3      2      4      5      
Santaras            Vasiliauskas        9      8      7      7      9      6      5      5      3      5      3      1      1      9      6      5      5      4      10     5      4      
Astijus             Sakalauskas         3      8      1      8      3      3      9      1      3      2      1      1      2      7      5      6      8      1      2      9      2      
Gustavas            Stankevicius        2      6      7      5      5      6      2      9      5      7      6      10     8      1      9      10     2      9      2      7      5      
Kiprijonas          Kateiva             2      3      2      5      5      4      8      6      1      1      9      2      10     4      5      1      6      9      4      7      3      
Reinhardas          Pocius              9      10     4      4      7      7      7      7      7      10     4      3      6      9      5      4      2      10     3      2      7      
Algirdas            Sakalauskas         9      8      6      1      8      4      6      5      6      9      8      3      9      10     8      5      1      5      2      4      8      
zibartas            Sakalauskas         4      7      3      6      9      5      6      5      10     3      4      3      6      7      2      10     3      4      3      3      10     
Pranas              Urbonas             7      6      3      7      5      7      8      6      3      5      4      1      10     6      6      9      4      3      6      6      6      
Virgintas           Vasiliauskas        7      4      10     10     4      3      10     10     4      2      8      2      4      7      9      4      3      2      4      5      7      
Eimis               Butkus              8      2      8      8      1      1      4      2      6      10     3      7      2      3      1      10     5      3      1      2      9      
Verneris            Vasiliauskas        9      2      10     7      5      5      5      7      1      6      4      7      2      3      5      7      2      3      7      7      4      
Almis               Baranauskas         3      7      6      4      7      7      1      8      9      2      7      7      10     8      1      3      1      5      2      2      9      
Haris               Sakalauskas         4      7      6      4      8      1      8      5      9      6      8      10     5      8      2      4      10     3      3      2      5      
Skaidrius           Kateiva             10     2      7      6      8      5      3      1      1      2      10     10     8      5      7      6      9      10     7      10     4      
Artiomas            Stankevicius        7      10     1      1      8      2      7      9      4      3      7      10     8      10     8      9      9      2      9      7      6      
Antonas             Kavaliauskas        3      8      2      8      5      10     8      9      9      2      9      10     10     1      9      4      7      8      7      7      8      
Vytis               Butkus              7      3      9      3      2      1      10     5      2      1      2      4      1      5      2      5      8      6      8      5      1      
Melchioras          Paulauskas          4      2      4      9      7      4      5      8      10     5      4      5      3      8      7      1      6      8      10     3      5      
Naumas              Jankauskas          4      3      1      9      3      3      10     8      5      8      8      6      8      1      2      8      9      4      10     4      5      
Dalius              Paulauskas          6      8      4      2      3      4      7      4      10     9      9      3      2      6      10     9      9      9      7      3      8      
Kestas              Butkus              2      8      1      6      9      8      7      10     3      6      2      5      9      4      6      1      6      5      5      10     1      
Julijus             Pocius              8      8      7      3      1      6      9      6      6      2      2      8      9      6      7      8      4      3      6      4      5      
Vidimantas          Kateiva             3      6      10     8      5      2      10     7      7      1      9      5      3      5      2      3      6      1      1      1      10     
Gintis              Stankevicius        4      3      2      7      8      8      8      6      6      3      5      10     10     3      3      9      7      6      4      9      9      
Rimantas            Jankauskas          3      10     9      10     10     5      3      4      5      2      8      3      7      1      3      9      5      5      8      4      7      
Jevgenijus          Urbonas             9      8      9      3      9      3      1      9      6      10     1      4      2      7      6      7      4      2      3      10     9      
Virgis              Pocius              3      10     1      3      8      7      4      4      3      8      9      2      10     5      1      1      3      4      4      1      9      
Nazaras             Stankevicius        1      2      5      3      4      5      2      5      4      2      10     5      3      3      4      8      6      8      10     3      8      
Makarijus           Kateiva             10     10     4      9      5      8      9      2      9      3      5      6      1      6      3      8      3      10     1      4      7      
Sonetas             Stankevicius        4      2      8      4      4      9      6      2      2      2      6      5      3      3      7      2      2      8      4      3      1      
Algirdas            Urbonas             3      1      4      1      9      1      8      8      3      9      9      10     4      2      2      6      6      6      1      4      10     
Viktorijus          Kateiva             3      7      6      5      6      4      4      10     8      5      5      6      5      2      4      2      6      2      5      3      1      
Nikolajus           Sakalauskas         5      7      7      3      10     6      5      4      1      3      8      9      4      4      3      1      2      10     6      7      7      
Timotiejus          Paulauskas          1      7      1      6      9      8      6      6      10     6      5      8      10     10     5      3      7      2      2      4      9      
Kristoforas         zukauskas           10     6      4      4      4      2      6      9      1      10     8      3      3      7      5      9      2      6      10     5      8      
Vladas              zukauskas           5      4      6      4      8      8      5      6      9      2      9      9      2      3      10     6      4      5      1      1      9      
Gytis               Petrauskas          8      2      9      7      5      10     5      5      7      8      9      8      7      6      1      5      3      2      8      8      1      
Jevgenijus          Petrauskas          10     4      9      10     9      6      5      3      7      9      5      10     10     7      3      3      3      7      7      9      10     
Felicijus           Stankevicius        7      2      10     3      7      7      4      7      6      4      5      9      4      8      3      2      1      6      9      1      4      
Ipolitas            Jankauskas          2      2      2      7      8      9      8      1      5      10     10     2      1      10     2      7      3      9      3      5      1      
Vytautas            Stankevicius        9      5      3      7      9      4      10     3      4      2      1      7      8      7      4      4      4      3      6      10     4      
udrys               Kateiva             6      5      1      8      8      1      3      2      7      4      9      9      10     5      7      9      1      6      10     6      4      
Patrikas            Stankevicius        4      3      5      9      1      1      3      10     8      9      3      5      1      5      4      4      9      3      8      8      9      
Irenijus            Urbonas             8      10     8      10     4      4      5      4      9      4      1      10     5      7      10     9      2      3      9      2      6      
Kazimieras          Petrauskas          8      6      7      5      6      8      1      8      5      2      1      7      3      3      4      10     10     1      7      2      8      
Horstas             Sakalauskas         6      7      1      2      8      6      3      3      10     10     10     10     7      3      5      3      7      3      1      10     10     
Enrikas             Pocius              2      4      4      10     8      6      3      8      8      2      5      1      6      9      6      2      7      4      10     7      2      
Raigardas           Jankauskas          9      6      8      5      2      9      6      5      5      7      10     10     4      1      3      10     8      7      6      6      6      
Vidas               zukauskas           1      10     2      6      9      9      4      3      4      3      1      6      5      10     5      4      3      7      8      9      1      
Baltrus             Sakalauskas         2      2      2      10     3      6      1      1      4      9      7      6      9      2      6      1      9      3      7      6      1      
Neimantas           Sakalauskas         6      7      5      8      10     4      5      3      6      1      5      7      3      4      3      9      6      2      5      8      3      
Banguolis           Kazlaukas           8      7      5      6      9      10     8      5      9      1      8      1      4      8      1      4      9      7      7      1      5      
Petras              Stankevicius        4      2      4      5      10     3      7      1      10     7      3      3      5      4      7      4      10     6      2      3      5      
Alfas               zukauskas           7      4      9      2      4      9      4      8      1      4      5      8      10     4      3      5      2      3      9      2      4      
Ivanas              Paulauskas          4      1      8      6      6      4      10     6      9      2      1      5      7      4      7      4      5      8      1      7      7      
Lauris              Stankevicius        4      4      1      6      6      6      4      10     2      4      8      6      8      3      8      7      10     2      5      1      10     
zilvinas            Stankevicius        1      1      7      10     6      2      6      8      8      2      2      4      5      7      7      6      6      3      4      10     8      
Danielius           Butkus              5      8      5      1      8      2      3      3      2      7      7      2      2      9      4      4      8      5      5      7      3      
Kostas              Kazlaukas           5      10     7      3      6      6      9      8      4      3      2      2      10     2      5      5      3      9      8      10     4      
Kazys               Sakalauskas         5      1      6      8      3      3      4      7      7      5      10     7      6      7      2      2      2      7      3      6      10     
Rimtis              Urbonas             4      4      9      10     10     10     9      7      1      5      7      8      8      6      3      10     10     2      7      2      3      
Vincentas           Kavaliauskas        5      4      10     5      3      9      10     5      2      7      7      4      9      4      6      7      3      4      9      8      6      
Orintas             Butkus              4      4      4      1      1      2      7      9      6      10     10     10     3      1      6      8      1      4      1      7      6      
Rimvydas            Stankevicius        8      2      8      1      6      8      4      3      5      3      10     7      6      10     6      6      7      7      1      8      6      
cesius              Urbonas             10     5      1      4      2      9      3      7      10     8      7      9      7      5      6      10     8      5      2      5      8      
Merunas             Kavaliauskas        10     3      2      3      10     2      1      2      1      5      10     2      9      5      6      6      3      6      10     2      4      
Vitoldas            Kavaliauskas        7      7      9      9      9      7      1      8      6      2      1      3      7      9      5      6      2      2      1      3      1      
Neringas            Kavaliauskas        10     9      7      5      1      10     6      4      8      4      2      5      4      9      7      1      8      1      2      3      7      
Vilius              zukauskas           2      7      5      10     2      4      7      5      2      3      4      10     2      4      3      9      10     4      6      4      4      
Timotis             Kavaliauskas        7      4      5      4      7      7      1      2      2      5      5      2      6      3      3      5      8      9      7      5      10     
Gedmantas           Vasiliauskas        3      4      6      2      2      10     6      10     10     7      2      4      7      5      9      4      3      7      9      8      5      
Timas               zukauskas           4      9      8      6      1      5      1      10     5      1      4      4      2      2      4      6      3      2      4      2      9      
Gavrila             Stankevicius        5      10     2      7      7      2      6      6      7      6      10     2      9      9      1      5      6      7      10     5      6      
Ksistofas           Vasiliauskas        4      10     6      4      4      8      10     8      6      1      6      2      7      2      6      6      5      5      6      1      10     
Leopoldas           Butkus              2      2      7      6      4      5      3      7      8      7      1      9      5      3      7      1      3      4      3      9      2      
Sebastijonas        Stankevicius        6      6      8      8      7      9      3      2      2      2      8      9      7      10     9      9      7      7      6      7      6      
Kazys               Sakalauskas         8      8      3      2      8      6      2      5      1      6      6      4      4      5      2      9      7      9      7      7      1      
Jacekas             Sakalauskas         4      7      10     7      4      6      6      8      6      10     7      2      10     4      6      4      10     10     6      10     6      
Kalnius             Vasiliauskas        6      7      3      7      9      9      7      7      8      3      6      8      2      7      1      6      3      1      8      7      9      
Jogaila             Baranauskas         10     8      7      6      4      7      5      5      10     5      5      6      4      5      8      8      4      7      10     7      5      
Kipras              Butkus              7      8      7      4      1      1      8      10     1      2      5      4      2      6      7      5      8      5      1      3      9      
Jevgenijus          Kateiva             6      9      10     5      9      7      4      7      1      6      8      1      4      4      1      5      1      1      3      5      3      
Aurimas             Pocius              7      7      7      4      9      9      1      1      10     5      6      1      8      3      8      9      7      5      5      10     2      
Rimtautas           Petrauskas          5      5      1      1      2      1      3      6      9      1      4      6      5      1      10     5      1      6      4      4      7      
Julius              Jankauskas          9      4      6      10     8      9      5      8      4      2      2      3      2      1      1      9      7      4      8      3      10     
Andzejus            Paulauskas          5      9      10     9      10     7      4      4      2      1      8      9      4      7      10     6      9      5      1      9      3      
Stanislovas         Paulauskas          3      7      3      7      6      10     9      6      2      3      7      8      7      10     3      6      6      3      1      6      1      
Polikarpas          Kavaliauskas        5      10     10     5      4      8      1      1      7      6      8      10     3      8      8      9      9      2      4      9      8      
Gaudvydas           Kazlaukas           9      1      5      5      1      10     9      2      10     6      4      7      3      2      6      4      5      8      9      2      3      
Rysardas            Petrauskas          10     5      8      6      5      2      3      1      6      7      2      1      3      3      5      1      5      5      5      3      6      
Klevas              Vasiliauskas        9      5      5      3      4      8      4      10     1      2      6      6      1      1      1      2      8      7      6      8      4      
Jacekas             Petrauskas          3      4      4      9      2      1      1      7      8      4      8      2      8      1      4      6      1      7      3      1      10     
Stasys              Baranauskas         2      6      1      10     5      2      6      1      8      4      2      8      3      3      6      9      10     9      3      6      9      
Otas                Vasiliauskas        6      6      4      1      3      3      8      3      4      2      7      4      7      8      3      3      8      1      3      9      3      
Adamas              Vasiliauskas        2      7      1      2      1      8      7      2      10     5      1      1      9      5      5      2      1      3      1      8      9      
Deivis              Sakalauskas         2      6      3      1      7      2      3      3      5      6      3      5      4      5      7      9      2      1      2      8      2      
Kristijonas         Stankevicius        1      6      5      4      7      7      4      3      9      2      8      6      5      4      2      2      8      2      3      4      8      
Jemeljanas          Stankevicius        1      9      8      8      2      10     7      10     4      8      5      4      10     1      5      1      5      6      10     4      8      
Olegas              Paulauskas          2      8      7      2      7      7      2      1      2      5      8      6      1      10     6      6      8      9      6      3      2      
Valerijonas         Kavaliauskas        2      8      2      8      10     9      7      8      9      1      8      1      4      5      5      2      3      2      3      9      5      
Dmitrijus           Kazlaukas           10     7      2      1      4      7      1      7      7      2      1      9      6      2      8      1      4      1      9      7      7      
Jakubas             Butkus              9      1      7      2      8      6      3      1      1      3      8      2      10     2      3      5      3      7      9      5      5      
Vaidotas            Urbonas             5      3      1      4      9      3      5      6      2      1      7      10     4      8      1      2      9      6      2      4      1      
Emanuelis           Petrauskas          9      9      2      8      7      10     7      8      2      5      5      7      2      9      7      8      9      10     7      10     6      
Erdvilas            Vasiliauskas        8      2      4      1      7      10     3      4      8      6      7      6      9      1      10     8      2      6      3      2      10     
Margiris            Jankauskas          1      4      5      1      5      1      5      1      5      6      3      5      10     6      2      9      7      4      8      6      3      
Gedminas            Kazlaukas           5      3      2      7      6      7      10     7      5      9      4      5      6      1      4      5      8      1      9      1      7      
Denisas             Kazlaukas           8      6      9      3      10     2      8      10     1      8      9      5      5      9      1      2      6      8      4      7      9      
Dainius             Petrauskas          5      5      6      4      2      3      2      6      10     8      5      3      1      5      2      10     2      2      5      4      10     
Jemeljanas          Kavaliauskas        2      7      5      4      9      4      7      5      2      7      5      9      2      1      6      7      7      9      2      7      6      
Abraomas            Pocius              6      3      1      10     4      8      8      5      7      4      10     8      9      2      3      4      5      3      4      4      8      
Orintas             Baranauskas         8      6      1      2      8      5      7      8      7      3      8      7      8      2      3      6      2      3      2      5      3      
Mefodijus           zukauskas           3      7      1      5      6      4      10     5      10     7      9      3      8      3      2      9      5      2      6      7      7      
Fiodoras            Kazlaukas           5      10     5      8      8      6      4      7      1      4      6      10     4      9      7      8      5      9      3      2      5      
Lionginas           Kateiva             9      5      7      10     5      10     7      9      10     4      2      5      10     1      10     8      3      3      6      3      5      
Kozmas              Kavaliauskas        1      4      5      3      9      2      9      5      6      5      8      2      8      1      8      6      9      1      3      9      2      
Nikola              zukauskas           10     3      1      3      3      8      1      10     6      6      5      7      4      3      1      7      9      6      8      6      2      
Ernestas            Butkus              3      1      4      4      5      7      6      5      4      1      7      9      1      1      9      5      8      9      1      9      8      
Osvaldas            Kateiva             4      6      1      1      10     10     1      3      1      4      1      5      10     10     4      2      2      2      9      3      6      
Einius              Sakalauskas         10     1      4      3      10     7      3      5      10     7      10     4      10     1      7      3      3      9      10     2      6      
Gvidas              Kateiva             4      9      10     4      2      5      4      4      1      9      3      9      5      5      1      3      5      4      4      1      5      
Nikolajus           Butkus              4      6      3      2      10     7      9      9      10     1      3      1      4      1      5      5      6      1      10     9      9      
Palmyras            Butkus              8      3      2      7      6      2      6      10     5      9      9      6      3      6      7      10     9      4      4      5      9      
Benonas             Butkus              7      8      1      10     8      1      3      5      2      3      9      10     8      8      5      10     1      6      9      5      2      
Hermanas            Kazlaukas           2      3      2      9      10     9      4      3      2      4      3      10     5      8      5      4      5      8      2      1      2      
Banguolis           Stankevicius        10     5      3      2      6      6      1      2      8      4      10     6      4      9      3      9      10     2      3      2      2      
Diomidas            zukauskas           8      10     1      1      9      9      6      3      9      2      7      8      10     8      4      7      2      6      7      8      7      
Ignotas             Sakalauskas         10     4      8      7      4      6      8      7      6      7      10     8      9      1      8      5      6      2      5      3      10     
Renius              Sakalauskas         2      8      6      3      9      5      3      9      8      9      7      1      9      3      6      2      1      8      6      6      5      
Kamilis             zukauskas           4      3      5      3      1      8      10     10     7      5      5      8      8      7      5      7      3      5      5      8      8      
Orintas             Baranauskas         9      1      10     2      7      1      7      1      9      3      7      3      4      6      6      5      8      2      2      8      5      
Klimentijus         Sakalauskas         8      10     10     6      9      1      9      2      3      7      4      2      6      1      2      5      7      8      1      7      6      
Vytaras             Kavaliauskas        10     3      9      6      7      5      5      1      10     4      4      5      1      10     10     4      9      7      1      8      5      
Sabinas             Kazlaukas           7      10     8      6      3      3      5      7      1      1      9      2      8      1      5      9      8      8      7      5      1      
Martinas            Urbonas             1      6      6      10     7      4      3      10     9      1      1      2      6      1      10     8      7      8      9      5      6      
Francisekas         Stankevicius        3      9      3      9      10     10     9      4      4      5      10     4      1      3      1      1      10     4      4      3      8      
Geivydas            zukauskas           4      5      7      4      4      3      6      8      10     8      5      4      5      10     7      8      7      2      10     8      6      
Vitalijus           Urbonas             1      10     9      8      2      4      4      1      4      2      4      1      2      10     3      9      10     9      5      6      5      
Isaakas             Sakalauskas         4      2      5      10     3      2      10     9      7      4      1      3      8      10     5      3      3      5      7      7      8      
Haris               Jankauskas          10     3      3      3      2      9      7      1      4      10     8      5      8      4      1      7      7      1      8      10     7      
Dominykas           Pocius              7      1      2      2      6      10     10     4      5      8      7      2      5      7      6      10     9      2      10     4      7      
Nerijus             Kateiva             3      4      8      9      5      1      10     9      7      8      10     4      7      8      3      3      1      4      6      8      2      
Rufas               Baranauskas         6      3      2      9      7      5      7      1      7      1      2      8      2      8      8      5      3      10     2      3      9      
Liubartas           Baranauskas         5      10     7      10     1      3      2      2      6      7      4      6      9      6      10     7      5      2      6      1      3      
Ovidijus            zukauskas           4      7      4      4      5      10     5      6      6      6      4      1      9      5      2      6      1      6      7      10     5      
Nemunas             Sakalauskas         1      9      1      10     1      9      2      8      6      2      8      5      8      1      2      9      2      10     7      2      6      
Jemeljanas          Kazlaukas           2      4      1      6      1      6      3      1      9      10     2      3      9      2      7      4      9      4      5      2      1      
Manfredas           zukauskas           10     5      1      3      1      3      8      7      10     8      3      6      3      9      4      6      9      7      6      3      5      
Anzelmas            Urbonas             2      10     7      3      7      2      10     1      1      7      8      7      5      4      6      7      1      3      7      4      6      
Augis               Kateiva             10     10     6      8      10     8      4      3      4      10     9      9      3      7      8      2      2      10     3      4      3      
Herbertas           Kavaliauskas        6      9      2      1      6      7      4      9      7      10     4      8      5      8      4      3      3      6      4      3      3      
Vincentas           Sakalauskas         6      3      4      4      10     3      3      6      8      4      3      5      6      4      9      10     9      9      3      7      9      
Voldemaras          Stankevicius        7      8      5      7      3      10     9      1      5      9      5      9      3      6      2      1      2      5      7      9      4      
Mantautas           Vasiliauskas        5      3      2      1      6      2      4      7      4      1      4      9      4      5      7      6      9      1      2      7      8      
Venantas            Vasiliauskas        1      6      5      10     10     5      1      8      4      2      3      1      10     10     8      2      5      8      7      9      7      
Ingvaras            Kateiva             1      6      9      9      5      9      1      3      8      5      7      9      6      6      6      4      4      2      9      8      8      
Orestas             zukauskas           7      6      2      3      5      10     9      8      8      7      6      2      7      4      3      1      10     4      2      2      4      
Sidas               Petrauskas          4      1      2      1      7      10     6      2      7      1      1      2      6      8      10     6      9      3      2      5      6      
Janas               Kavaliauskas        7      8      8      7      2      10     6      4      2      6      10     10     7      6      2      4      10     4      8      8      3      
Hubertas            Pocius              6      10     9      8      3      9      8      1      1      2      7      5      6      2      3      7      1      5      9      4      3      
Germantas           Kateiva             9      9      8      6      5      6      1      6      10     8      8      1      10     1      10     1      7      5      10     2      4      
Foma                Butkus              6      2      10     10     10     5      9      10     5      9      9      10     9      4      3      3      6      5      6      9      7      
Adomas              Sakalauskas         5      6      8      5      3      7      5      5      3      2      9      7      6      2      2      8      8      1      9      1      5      
Severas             zukauskas           5      7      7      9      2      4      8      8      5      6      7      10     7      9      3      8      5      10     6      5      3      
Ksaveras            Vasiliauskas        9      4      3      1      2      8      8      7      6      1      8      2      9      1      6      5      5      7      9      7      8      
